;image_id;set_id;scene_id;version_id;dalt_id;coldef_type;is_correct;resp_time;observer_id;observer_coldef_type;session_id;filepath
61;53;3;7;2;99;1;0.0;2.2351834774017334;10;2;6;images/set3/0531990001.png
62;79;11;17;1;0;0;0.0;1.48457670211792;10;2;6;images/set11/0790000000.png
63;79;11;17;1;1;1;0.0;1.1843868494033813;10;2;6;images/set11/0791010001.png
64;79;11;17;1;1;2;1.0;1.7681212425231934;10;2;6;images/set11/0791010002.png
65;79;11;17;1;2;1;0.0;2.0683815479278564;10;2;6;images/set11/0791020001.png
66;79;11;17;1;2;2;0.0;1.2343106269836426;10;2;6;images/set11/0791020002.png
67;79;11;17;1;3;1;0.0;2.1851134300231934;10;2;6;images/set11/0791030001.png
68;79;11;17;1;3;2;0.0;2.2018327713012695;10;2;6;images/set11/0791030002.png
69;79;11;17;1;4;1;0.0;2.0183119773864746;10;2;6;images/set11/0791040001.png
70;79;11;17;1;4;2;0.0;1.7013888359069824;10;2;6;images/set11/0791040002.png
71;79;11;17;1;99;1;1.0;1.4346344470977783;10;2;6;images/set11/0791990001.png
72;85;13;20;1;0;0;0.0;1.4678852558135986;10;2;6;images/set11/0850000000.png
73;85;13;20;1;1;1;0.0;1.1509714126586914;10;2;6;images/set11/0851010001.png
74;85;13;20;1;1;2;0.0;0.8172871470451355;10;2;6;images/set11/0851010002.png
75;85;13;20;1;2;1;0.0;0.8341119885444641;10;2;6;images/set11/0851020001.png
76;85;13;20;1;2;2;0.0;1.200896978378296;10;2;6;images/set11/0851020002.png
77;85;13;20;1;3;1;0.0;1.2345808744430542;10;2;6;images/set11/0851030001.png
78;85;13;20;1;3;2;0.0;0.8009934425354004;10;2;6;images/set11/0851030002.png
79;85;13;20;1;4;1;0.0;0.8843304514884949;10;2;6;images/set11/0851040001.png
80;85;13;20;1;4;2;0.0;0.7506073117256165;10;2;6;images/set11/0851040002.png
81;85;13;20;1;99;1;1.0;1.3845182657241821;10;2;6;images/set11/0851990001.png
82;86;13;20;2;0;0;1.0;2.852311134338379;10;2;6;images/set11/0860000000.png
83;86;13;20;2;1;1;0.0;1.1676337718963623;10;2;6;images/set11/0861010001.png
84;86;13;20;2;1;2;0.0;2.068425178527832;10;2;6;images/set11/0861010002.png
85;86;13;20;2;2;1;0.0;1.2010329961776733;10;2;6;images/set11/0861020001.png
86;86;13;20;2;2;2;0.0;1.434587836265564;10;2;6;images/set11/0861020002.png
87;86;13;20;2;3;1;0.0;1.2343448400497437;10;2;6;images/set11/0861030001.png
88;86;13;20;2;3;2;0.0;1.8349353075027466;10;2;6;images/set11/0861030002.png
89;86;13;20;2;4;1;0.0;1.2509276866912842;10;2;6;images/set11/0861040001.png
90;86;13;20;2;4;2;0.0;1.2510734796524048;10;2;6;images/set11/0861040002.png
